id,best,avg,entryyear,modul,weighted ,degree,between,pagerank,cluster
5800,13,37.333332,2000,4,13.7826567331,14,665.8344415762,0.0030369775,0.1208791209
585092,52,71.333336,2012,4,28.2458959919,18,968.7022361604,0.0038970469,0.2549019608
5867,12,44.363636,1997,0,18.916773084,16,1335.9517415406,0.0040347387,0.2333333333
588638,19,41,2013,4,0.6931471806,1,0,0.0006349663,0
5887,10,36.307693,1997,0,13.7587116089,11,395.3307691081,0.0026775744,0.2363636364
5892,27,45.5,2002,0,21.1038452899,18,795.5836979516,0.0038386317,0.2483660131
5899,39,59.666668,2000,3,3.1780538304,4,13.1731821296,0.0011423548,0.5
59,86,88.5,1998,0,9.2873014131,7,573.795194718,0.0023895204,0.1904761905
5906,54,54,2000,0,2.7725887222,4,155.0192809256,0.0011892425,0.1666666667
5966,31,52,2003,7,15.8339273978,10,410.3869568634,0.0025644598,0.1333333333
600,40,62,1997,0,4.4998096703,4,0,0.0013581178,1
6035,75,75,2007,3,16.8473818781,16,1367.8570167148,0.0036925286,0.2
6092,92,92,2007,0,13.4949746607,11,677.1353811996,0.0026266487,0.2181818182
6181,98,98,1998,1,5.598421959,5,507.494688368,0.0017800374,0.1
6197,1,4.3157897,2000,0,8.1478671299,5,423.4164900921,0.0016759537,0.2
62077,86,86,2000,4,22.0973256604,14,956.1120311912,0.0031155925,0.2197802198
62157,54,64.666664,2005,0,0,0,0,0.0003438001,0
627536,22,40.8,2006,7,3.5553480615,2,0,0.0008892287,1
6282,91,91,2006,7,1.3862943611,2,416,0.0014344994,0
6286,15,38.5,2005,7,23.5570032413,9,1083.4847033359,0.0029498303,0.2777777778
62874,50,50,2005,0,2.0794415417,2,416,0.0013323977,0
62915,27,52.8,1997,0,24.44847232,19,1457.3086098457,0.0044546542,0.1403508772
62922,12,12,2004,0,0,0,0,0.0003438001,0
62991,61,61,2014,0,0,0,0,0.0003438001,0
6341,49,49,2008,0,0,0,0,0.0003438001,0
6362,81,88.333336,2007,0,0,0,0,0.0003438001,0
64,4,34.25,2000,7,2.0794415417,3,0,0.0011039867,1
